rotation
Puncture Shot, Time: 0s, Dur: 684ms
Puncture Shot, Time: 0s, Dur: 683ms
Puncture Shot, Time: 0s, Dur: 713ms
True Shot, Time: 0s, Dur: 685ms
Deflecting Shot, Time: 0s, Dur: 679ms
Symbol of Energy, Time: 0s, Dur: 400ms
Hunter's Ward, Time: 0s, Dur: 766ms
Weapon Swap, Time: 0s, Dur: 0ms
Spear of Justice, Time: 0s, Dur: 550ms
Symbol of Resolution, Time: 0s, Dur: 248ms
Whirling Wrath, Time: 0s, Dur: 1464ms
Procession of Blades, Time: 0s, Dur: 447ms
Sword of Justice, Time: 0s, Dur: 601ms
Binding Blade, Time: 0s, Dur: 516ms
Leap of Faith, Time: 0s, Dur: 715ms
Strike, Time: 0s, Dur: 403ms
Vengeful Strike, Time: 0s, Dur: 597ms
Wrathful Strike, Time: 0s, Dur: 683ms
Strike, Time: 0s, Dur: 400ms
Vengeful Strike, Time: 0s, Dur: 598ms
Wrathful Strike, Time: 0s, Dur: 684ms
Strike, Time: 0s, Dur: 399ms
Symbol of Resolution, Time: 0s, Dur: 283ms
Whirling Wrath, Time: 0s, Dur: 1483ms
Weapon Swap, Time: 0s, Dur: 0ms
Symbol of Energy, Time: 0s, Dur: 397ms
Deflecting Shot, Time: 0s, Dur: 679ms
True Shot, Time: 0s, Dur: 682ms
Puncture Shot, Time: 0s, Dur: 683ms
Puncture Shot, Time: 0s, Dur: 685ms
Puncture Shot, Time: 0s, Dur: 680ms
Puncture Shot, Time: 0s, Dur: 682ms
Puncture Shot, Time: 0s, Dur: 668ms
Puncture Shot, Time: 0s, Dur: 731ms
Procession of Blades, Time: 0s, Dur: 433ms
Spear of Justice, Time: 0s, Dur: 566ms
Dragon's Maw, Time: 0s, Dur: 449ms
Sword of Justice, Time: 0s, Dur: 616ms
Dragon's Maw, Time: 0s, Dur: 466ms
True Shot, Time: 0s, Dur: 681ms
Deflecting Shot, Time: 0s, Dur: 684ms
Symbol of Energy, Time: 0s, Dur: 565ms
Hunter's Ward, Time: 0s, Dur: 766ms
Weapon Swap, Time: 0s, Dur: 0ms
Symbol of Resolution, Time: 0s, Dur: 251ms
Leap of Faith, Time: 0s, Dur: 797ms
Whirling Wrath, Time: 0s, Dur: 1488ms
Strike, Time: 0s, Dur: 397ms
Binding Blade, Time: 0s, Dur: 602ms
Strike, Time: 0s, Dur: 399ms
Sword of Justice, Time: 0s, Dur: 601ms
Vengeful Strike, Time: 0s, Dur: 600ms
Wrathful Strike, Time: 0s, Dur: 665ms
Strike, Time: 0s, Dur: 415ms
Vengeful Strike, Time: 0s, Dur: 585ms
Wrathful Strike, Time: 0s, Dur: 681ms
Leap of Faith, Time: 0s, Dur: 817ms
Symbol of Resolution, Time: 0s, Dur: 233ms
Whirling Wrath, Time: 0s, Dur: 1482ms
Weapon Swap, Time: 0s, Dur: 0ms
Symbol of Energy, Time: 0s, Dur: 484ms
Deflecting Shot, Time: 0s, Dur: 679ms
True Shot, Time: 0s, Dur: 668ms
Procession of Blades, Time: 0s, Dur: 447ms
Spear of Justice, Time: 0s, Dur: 548ms
Puncture Shot, Time: 0s, Dur: 679ms
Puncture Shot, Time: 0s, Dur: 684ms
Puncture Shot, Time: 0s, Dur: 682ms
Puncture Shot, Time: 0s, Dur: 682ms
